group,glps,min_meat,max_meat,min_meth,max_meth,min_manure,max_manure,min_methane,max_methane
Turkey,other,0.004008931,0.005403397,0.370761481,0.395028211,0.140584556,0.193946644,0.41713538,0.660556493
United States,grazing,0.004903276,0.005661047,0.374096092,0.416467208,0.175734633,0.273132716,0.378768861,0.496836858
United States,mixed,0.012652187,0.015053512,0.393582761,0.440530206,0.175734639,0.273132733,0.378768752,0.496836858
United States,other,0.006797594,0.006797594,0.415675985,0.415675985,0.164636292,0.273132733,0.378768799,0.496836806
West Africa,grazing,0.00011488,0.000334683,0.366164174,0.440168294,0.125107694,0.263256135,0.303502906,0.63030991
West Africa,mixed,0.001227155,0.003709512,0.324063948,0.454229915,0.125107676,0.263256164,0.303502965,0.630310169
West Africa,other,0.001098855,0.001098855,0.406715352,0.406715352,0.125107734,0.263256082,0.30350298,0.630310023
West Europe,grazing,0.002708461,0.005377921,0.36123984,0.412233139,0.132044571,0.161705399,0.475568293,0.614560208
West Europe,mixed,0.012346936,0.013338896,0.402972408,0.41698845,0.130797962,0.161705433,0.475568192,0.614560434
West Europe,other,0.006797594,0.006797594,0.415675985,0.415675985,0.13079797,0.242365098,0.447147864,0.660556428
