ADM0_A3,Demand,source,SSP1-NoCC2010,SSP1-NoCC2030,SSP1-NoCC2050,SSP2-NoCC2010,SSP2-NoCC2030,SSP2-NoCC2050,SSP3-NoCC2010,SSP3-NoCC2030,SSP3-NoCC2050
AND,1427.745861,observed,0,0,0,0,0,0,0,0,0
GGY,1190.789349,observed,0,0,0,0,0,0,0,0,0
LCA,1147,observed,0,0,0,0,0,0,0,0,0
VCT,1022,observed,0,0,0,0,0,0,0,0,0
CYM,998.3188272,observed,0,0,0,0,0,0,0,0,0
CPV,998,observed,1258.440278,3091.861717,4818.210466,1258.440294,3001.312292,4501.617896,1258.440194,3167.652071,4928.306502
GRL,953.991798,observed,0,0,0,0,0,0,0,0,0
KAB,912.4498005,observed,0,0,0,0,0,0,0,0,0
TON,869.7975519,observed,0,0,0,0,0,0,0,0,0
FRO,848.556922,observed,0,0,0,0,0,0,0,0,0
LIE,833.1280328,observed,0,0,0,0,0,0,0,0,0
MCO,752.4965539,observed,0,0,0,0,0,0,0,0,0
KNA,693,observed,0,0,0,0,0,0,0,0,0
DMA,678,observed,0,0,0,0,0,0,0,0,0
ASM,632.4426819,observed,0,0,0,0,0,0,0,0,0
MNP,629.3044766,observed,0,0,0,0,0,0,0,0,0
SMR,621.3219779,observed,0,0,0,0,0,0,0,0,0
TCA,614.7406788,observed,0,0,0,0,0,0,0,0,0
FSM,607.7213261,observed,0,0,0,0,0,0,0,0,0
GIB,562.3013336,observed,0,0,0,0,0,0,0,0,0
ALD,497.6644149,observed,0,0,0,0,0,0,0,0,0
KIR,436,observed,0,0,0,0,0,0,0,0,0
VGB,434.9825252,observed,0,0,0,0,0,0,0,0,0
SXM,434.294877,observed,0,0,0,0,0,0,0,0,0
MAF,426.5901902,observed,0,0,0,0,0,0,0,0,0
GRD,380,observed,0,0,0,0,0,0,0,0,0
MHL,364.8113203,observed,0,0,0,0,0,0,0,0,0
PLW,256.856581,observed,0,0,0,0,0,0,0,0,0
STP,242,observed,0,0,0,0,0,0,0,0,0
AIA,188.3751275,observed,0,0,0,0,0,0,0,0,0
CNM,152.7527214,observed,0,0,0,0,0,0,0,0,0
COK,139.4057351,observed,0,0,0,0,0,0,0,0,0
ESB,131.7717387,observed,0,0,0,0,0,0,0,0,0
WSB,131.7717387,observed,0,0,0,0,0,0,0,0,0
NRU,123.4968172,observed,0,0,0,0,0,0,0,0,0
USG,117.5034612,observed,0,0,0,0,0,0,0,0,0
BLM,116.9562652,observed,0,0,0,0,0,0,0,0,0
WLF,107.4063083,observed,0,0,0,0,0,0,0,0,0
ATA,95.59646516,observed,0,0,0,0,0,0,0,0,0
SPM,92.23171779,observed,0,0,0,0,0,0,0,0,0
TUV,71.84995417,observed,0,0,0,0,0,0,0,0,0
IOT,67.144835,observed,0,0,0,0,0,0,0,0,0
FLK,60.08908752,observed,0,0,0,0,0,0,0,0,0
SHN,54.82169254,observed,0,0,0,0,0,0,0,0,0
MSR,53.51463597,observed,0,0,0,0,0,0,0,0,0
IOA,35.38153421,observed,0,0,0,0,0,0,0,0,0
KAS,30.24626689,observed,0,0,0,0,0,0,0,0,0
NFK,27.91505539,observed,0,0,0,0,0,0,0,0,0
NIU,14.39713351,observed,0,0,0,0,0,0,0,0,0
SOM,10,observed,65635.29145,213633.5979,1121705.373,65635.2884,165069.7884,558629.4383,65635.30707,145674.2916,357700.4009
BDI,10,observed,13419.57523,38341.95191,116060.1091,13419.5747,35106.92329,86002.77156,13419.57798,31640.55483,59943.64078
VAT,10,observed,0,0,0,0,0,0,0,0,0
