"ADM0_A3","barley","cassava","groundnut","maize","millet","oilpalm","potato","rapeseed","rice","rye","sorghum","soybean","sugarbeet","sugarcane","sunflower","wheat"
"TZA",0.161430448293686,0.113670438528061,0.159233123064041,0.169471859931946,0.147952422499657,0.0995569005608559,0.203239887952805,0.136228051036597,2.63160300254822,NA,0.151815161108971,0.227944239974022,NA,0.168949112296104,0.165308982133865,0.134877696633339
"SYR",0.152151674032211,NA,0.204705744981766,0.204436048865318,0.0573825463652611,NA,0.203344285488129,0.542185246944427,4.92325830459595,0.136233143508434,0.0677033439278603,0.22748576104641,0.346599966287613,0.458880266640336,0.474553436040878,0.164346307516098
"SOL",2.8148902325891,1.19703514022694,0.702839714940637,0.400910900373544,0.777407837354324,2.20241826894094,0.638187789668639,0.136228051036597,4.09261677815364,NA,0.254454730221858,0.743621332189915,NA,0.901650502656897,2.53310702627318,0.296625762318189
"FRA",0.875340759754181,NA,NA,1.43630599975586,0.420319736003876,NA,0.532688319683075,1.13845884799957,5.15068769454956,0.143560156226158,0.625254571437836,0.137733653187752,1.32976698875427,NA,0.859948933124542,0.615151882171631
"SUR",0.208987902746432,0.943814873695374,2.60557794570923,2.14009690284729,0.168789128959179,2.73358798027039,0.409064501151442,0.330737435258925,5.98181247711182,0.250959212193266,0.330798387015238,4.54829788208008,0.833707896726471,4.80214309692383,0.295276777094437,0.37825177051127
"GUY",0.208987902746432,17.9495525360107,18.8805255889893,15.2985649108887,0.168789128959179,0.871164023876191,0.409064501151442,0.330737435258925,16.2016258239746,0.250959212193266,0.330798387015238,0.596544546752491,0.833707896726471,19.0775604248047,0.295276777094437,0.37825177051127
"KOR",2.10450983047485,1.02404381583134,0.221545740962029,2.10449957847595,2.10450267791748,0.500990569591522,0.932495832443237,0.894856810569763,10.5918340682983,2.04647207260132,2.10450887680054,0.234242752194405,0.840191697701813,1.0695543885231,0.585942288239797,2.10339736938477
"PRK",0.182002931833267,0.0240811631083488,0.0529053211212158,0.501306295394897,0.148041978478432,0.500990569591522,0.481352269649506,0.633357970044017,3.50022840499878,0.463405400514603,0.165673181414604,0.168772622942925,0.80889356136322,1.0695543885231,0.22881007194519,0.331850409507751
"MAR",0.0501379147171974,0.175477847456932,0.0241494681686163,0.05305390432477,0.0543559640645981,NA,1.21970772743225,0.0238647405058146,5.1121678352356,0.0543560087680817,0.055546261370182,0.0223750770092011,0.71095734834671,0.580874502658844,0.103665143251419,0.0542424879968166
"SAH",0.205853508785367,0.175477847456932,0.169086024537683,0.718960639089347,0.0869226921349763,NA,1.31932735443115,0.0622227708809079,4.20946186780929,0.290105238556862,0.0551694456487894,0.315404027700424,0.301093865185976,0.481920167803764,0.278101561963558,0.374048521819835
"CRI",0.162154734134674,0.280358672142029,0.231852486729622,0.566236138343811,0.360813200473785,0.490707635879517,1.32011926174164,0.188096337020398,4.75410175323486,NA,0.27847483754158,0.0650783553719521,1.30631375312805,0.760984241962433,0.13343408703804,0.485214373469353
"NIC",0.162154734134674,0.110955990850925,0.164061903953552,0.172451600432396,0.360813200473785,0.232628792524338,0.154973685741425,0.188096337020398,2.59275603294373,NA,0.165817335247993,0.0856217220425606,1.30631375312805,0.200658798217773,0.13343408703804,0.332536458969116
"COG",0.0164734274148941,0.197799161076546,0.109533235430717,0.678138971328735,0.005552361253649,0.280137240886688,0.378880739212036,NA,1.98218238353729,NA,0.00658563664183021,0.0786425831417243,NA,0.369390308856964,0.0437585166655481,0.0537769012153149
"COD",0.020696222782135,0.00796753168106079,0.0093470886349678,0.00822476949542761,0.00354417809285223,0.0160669162869453,0.00412338646128774,NA,1.50095629692078,NA,0.0205292403697968,0.00574334384873509,NA,0.0215022340416908,0.0397954322397709,0.0212909020483494
