climate_bin,barley,cassava,groundnut,maize,millet,oilpalm,potato,rapeseed,rice,rye,sorghum,soybean,sugarbeet,sugarcane,sunflower,wheat
56,3.299509179,18.8457329,2.950016141,5.640214429,1.729143748,20.08438132,23.47720779,1.62534935,6.928436332,6.075968793,4.506583203,2.758973391,71.71450297,93.7217899,1.686737472,4.160926891
57,3.070476362,20.44616779,3.026311071,5.507507465,1.621470565,20.10602634,22.82614747,1.535218699,7.09707014,,4.241040798,2.912253787,,91.23683439,1.63357144,3.840986647
58,,23.00666713,2.976720612,5.644739365,1.572097874,20.94983213,21.96189683,1.526095552,7.704070186,,4.274327474,2.983067637,,92.27365184,1.671241879,3.720628131
59,,20.31334474,2.847093761,4.834922013,,21.40486307,23.16736395,,6.104226915,,4.66065836,2.895005429,,91.50095933,,4.13585043
60,,15.09519355,1.432789087,3.00999999,0.61486625,,22.68994331,,4.987564445,,1.089412358,,,74.13583069,1.391001701,4.343082428
61,3.206671,15.464798,1.490787447,2.956856525,1.730686887,,22.88820568,,5.7994584,,1.753431811,1.719363264,,90.79373139,1.391001701,4.625583839
62,2.967331039,13.76299285,1.885331354,3.243365449,1.789870708,16.70580624,23.44221958,1.471380894,6.191756709,,3.040225522,2.227221111,75.55099487,102.4880047,1.395516638,4.574102807
63,2.515202416,14.12959245,1.96671459,3.497921665,1.817990744,17.93246705,23.74949025,1.512533344,6.471944186,,3.424052695,2.16006739,74.99517822,102.8672948,1.41308297,4.555432379
64,2.858764657,15.24550276,2.00448067,3.779688656,1.647516456,18.2242875,22.95665488,1.440109563,5.807592738,,2.921927095,2.424386581,,92.24778116,1.501456318,4.241584819
65,3.108547932,15.45563784,2.284009982,4.012181351,1.578158295,18.73409281,22.94822421,1.475183219,5.633074149,,2.891075119,2.619556506,67.47000122,90.46469075,1.518091535,4.152355025
66,3.254168053,16.35120994,2.283864253,4.047964759,1.557744553,19.41928685,22.92932557,1.532493796,5.651809384,,2.811877916,2.650625146,76.09581757,89.85767954,1.57847304,3.913083163
67,,16.68481843,2.423041984,4.062343319,1.589382044,19.69035309,23.01901681,1.55542282,5.849142752,,2.734483837,2.754101391,67.47000122,89.92453841,1.620370704,3.801954877
68,,17.9373265,2.190978079,3.716497133,1.465739671,20.80704994,22.52674996,1.383771108,5.318276882,,3.12691907,2.84701792,,91.82034307,1.593629956,3.538438551
69,,21.18014192,2.516874997,4.818155898,,21.36884059,21.44571772,,5.661527775,,3.526179075,2.910906048,,94.21498149,,
70,,26.82932379,1.544778076,2.695014836,0.59179379,,22.68994331,,5.355504598,,1.003376528,,,61.37221235,1.391001701,4.343082428
71,,27.91366689,1.482638744,2.7309999,0.827959596,15.98999977,22.37314083,1.215120182,5.332324817,,1.153344814,2.216841833,,71.05616866,1.366312744,4.36332838
72,2.188492537,21.06629744,1.509717479,2.81822186,0.938196558,15.98999977,22.50141301,1.297155802,5.21480827,,1.24723249,1.994316297,,82.47312252,1.378350311,4.556807453
73,2.385547161,19.96643772,1.502690154,3.039819396,1.271536289,16.15092277,22.18170261,1.270912582,5.058950281,,1.577461022,1.995413542,,94.83921256,1.362128765,4.419567805
74,2.314015165,17.95313335,1.647286498,3.454106556,1.305524851,16.3667283,22.53111335,1.206135839,4.610959204,,1.904561885,2.260885669,,92.6892587,1.490124305,4.402243016
75,,18.37107158,1.745017226,3.486907507,1.357896054,17.04459133,22.44476155,1.128063007,4.72517605,,2.007015094,2.301317284,,93.00912996,1.457185546,4.139211582
76,,18.72623556,1.904297434,3.589782824,1.282153273,19.34080246,22.6609458,1.012519261,4.905967479,,2.212385635,2.466663987,,91.90697755,1.574962203,4.238449873
77,,18.91743463,2.005872574,3.566141334,1.379441701,19.36036637,22.76857353,1.001148074,5.055100318,,2.357221351,2.714847942,,90.73297913,1.593629956,4.214267616
78,,19.02793655,1.947443467,3.482289467,1.522369146,20.20462961,22.68273641,,5.178348902,,2.33719537,2.819921248,,94.23748718,1.593629956,3.095324087
